Age (kyr),IRM@0.9 AF 120mT (A/m)
0.00,
0.07,
0.13,
0.20,
0.27,0.647
0.34,0.705
0.40,0.741
0.47,0.755
0.54,0.748
0.61,0.728
0.67,0.706
0.74,0.69
0.81,0.682
0.87,0.681
0.94,0.683
1.01,0.69
1.08,0.707
1.14,0.731
1.21,0.757
1.28,0.785
1.34,0.814
1.41,0.845
1.48,0.875
1.55,0.904
1.61,0.928
1.68,0.941
1.75,0.934
1.82,0.901
1.88,0.84
1.95,0.765
2.02,0.695
2.08,0.645
2.15,0.618
2.22,0.607
2.29,0.607
2.35,0.613
2.42,0.619
2.49,0.624
2.55,0.624
2.62,0.62
2.69,0.614
2.76,0.608
2.82,0.602
2.89,0.593
2.96,0.583
3.03,0.574
3.09,0.564
3.16,0.553
3.23,0.54
3.29,0.53
3.36,0.529
3.43,0.536
3.50,0.549
3.56,0.563
3.63,0.578
3.70,0.592
3.76,0.606
3.83,0.62
3.90,0.631
3.97,0.639
4.03,0.643
4.10,0.65466
4.17,0.66177
4.24,0.66191
4.30,0.65524
4.37,0.64067
4.44,0.61707
4.50,0.58607
4.57,0.54962
4.64,0.51796
4.71,0.49868
4.77,0.49005
4.84,0.48531
4.91,0.48184
4.97,0.47803
5.04,0.474
5.10,0.47253
5.16,0.477
5.22,0.48745
5.29,0.50145
5.35,0.51551
5.41,0.52767
5.47,0.53686
5.54,0.54501
5.60,0.55469
5.66,0.56601
5.72,0.57741
5.79,0.58723
5.85,0.5954
5.91,0.60236
5.97,0.60817
6.04,0.61079
6.10,0.60792
6.16,0.59811
6.22,0.58245
6.29,0.56469
6.35,0.55035
6.41,0.54456
6.47,0.54759
6.54,0.55582
6.60,0.56184
6.66,0.55735
6.72,0.53434
6.82,0.49061
6.92,0.43264
7.03,0.37461
7.13,0.32289
7.19,0.27773
7.25,0.24159
7.31,0.21289
7.37,0.18955
7.43,0.17238
7.49,0.16272
7.55,0.16329
7.61,0.17451
7.68,0.18824
7.74,0.19145
7.80,0.17488
7.86,0.14582
7.92,0.11563
7.98,0.091888
8.09,0.075389
8.21,0.063742
8.33,0.055723
8.46,0.051009
8.58,0.049503
8.70,0.050175
8.83,0.051526
8.95,0.0528
9.08,0.054934
9.22,0.059364
9.36,0.066933
9.49,0.077004
9.63,0.089888
9.76,0.10394
9.90,0.1195
10.03,0.13632
10.17,0.15428
10.31,0.17621
10.44,0.20046
10.58,0.23123
10.71,0.2664
10.85,0.30505
10.98,0.34234
11.12,0.37426
11.25,0.39811
11.39,0.41275
11.53,0.41877
11.66,0.41629
11.80,0.40509
11.93,0.38456
12.06,
12.19,
12.32,
12.44,
12.57,
12.70,
12.83,
12.95,0.50929
13.08,0.54003
13.21,0.54176
13.34,0.52439
13.46,0.50072
13.59,0.47767
13.72,0.45613
13.85,0.43578
13.97,0.4173
14.10,0.40428
14.23,0.39791
14.36,0.39208
14.48,0.38218
14.61,0.36814
14.74,0.35348
14.87,0.34107
15.00,0.33124
15.12,0.32449
15.25,0.32085
15.38,0.31993
15.51,0.32179
15.63,0.32658
15.76,0.33406
15.89,0.34411
16.04,0.35497
16.38,0.36125
16.72,0.35933
17.05,0.35072
17.39,0.33955
17.72,0.33043
18.05,0.32536
18.38,0.32523
18.71,0.33082
19.04,0.3409
19.37,0.35384
19.70,0.36758
20.04,0.38312
20.37,0.40252
20.70,0.43071
21.03,0.46903
21.36,0.52221
21.69,0.58215
22.02,0.64722
22.36,0.70719
22.69,0.76423
23.02,0.81811
23.35,0.86605
23.68,0.90574
24.01,0.9411
24.34,0.96587
24.67,0.97919
25.02,0.97785
25.36,0.9625
25.70,0.93642
26.04,0.90511
26.38,0.87539
26.72,0.85168
27.06,0.83569
27.41,0.82382
27.75,0.81211
28.09,0.79742
28.43,0.77822
28.77,0.75803
29.11,0.74114
29.45,0.73015
29.80,0.72672
30.14,0.72756
30.48,0.72738
30.82,0.7245
31.16,0.72001
31.50,0.71436
31.84,0.70603
32.18,0.69235
32.53,0.67497
32.87,0.65647
33.21,0.64025
33.55,0.62567
33.89,0.61347
34.23,0.60133
34.57,0.59201
34.92,0.59392
35.26,0.61827
35.60,0.66567
35.94,0.71813
36.28,0.75149
36.62,0.75844
36.96,0.74651
37.27,0.72515
37.57,0.70239
37.87,0.6876
38.17,0.68587
38.47,0.69601
38.77,0.71188
39.07,0.72506
39.37,0.73157
39.67,0.73077
39.98,0.72649
40.28,0.72286
40.58,0.72102
40.88,0.7191
41.18,0.71628
41.48,0.71388
41.78,0.71218
42.08,0.71085
42.39,0.71112
42.69,0.71498
42.99,0.71955
43.29,0.71787
43.59,0.70629
43.89,0.68891
44.19,0.67327
44.55,0.66543
44.92,0.6649
45.28,0.66695
45.64,0.66912
46.00,0.67491
46.36,0.68645
46.72,0.7026
47.08,0.72046
47.45,0.73928
47.81,0.75815
48.17,0.77533
48.53,0.78651
48.89,0.78879
49.25,0.78168
49.61,0.76911
49.98,0.75787
50.34,0.7504
50.70,0.74478
51.06,0.73614
51.42,0.72244
51.78,0.70381
52.14,0.68396
52.49,0.66662
52.84,0.65526
53.20,0.64968
53.55,0.64696
53.90,0.64562
54.25,0.64407
54.60,0.63962
54.95,0.6302
55.15,0.6161
55.33,0.59622
55.51,
55.69,
55.83,
56.02,
56.21,0.714
56.41,0.783
56.60,0.843
56.79,0.892
56.98,0.928
57.17,0.949
57.36,0.958
57.55,0.957
57.74,0.951
57.93,0.943
58.13,0.937
58.32,0.933
58.51,0.936
58.70,0.947
58.89,0.966
59.08,0.986
59.27,1
59.46,1
59.65,0.995
59.84,0.979
60.04,0.959
60.23,0.939
60.42,0.919
60.61,0.894
60.80,0.867
60.99,0.841
61.18,0.817
61.37,0.795
61.56,0.773
61.76,0.751
61.95,0.729
62.14,0.706
62.33,0.682
62.52,0.661
62.71,0.645
62.90,0.634
63.09,0.63
63.28,0.634
63.48,0.645
63.67,0.66
63.86,0.676
64.05,0.691
64.24,0.702
64.43,0.702
64.62,0.683
64.81,0.639
65.00,0.578
65.22,0.516
65.44,0.467
65.65,0.434
65.87,0.415
66.08,0.401
66.30,0.393
66.51,0.389
66.73,0.394
66.95,0.407
67.16,0.425
67.38,0.44
67.59,0.447
67.78,0.451
67.96,0.461
68.15,0.472
68.33,0.473
68.52,0.454
68.70,0.412
68.89,0.358
69.07,0.305
69.26,0.278
69.44,0.286
69.63,0.322
69.81,0.365
70.00,0.391
70.18,0.398
70.37,0.392
70.55,0.379
70.74,0.362
70.92,0.343
71.11,0.32
71.29,0.293
71.48,0.269
71.66,0.259
71.89,0.273
72.12,0.303
72.35,0.337
72.59,0.367
72.82,0.389
73.05,0.406
73.28,0.42
73.51,0.432
73.68,0.445
73.84,0.46
74.00,0.475
74.17,0.492
74.33,0.511
74.50,0.528
74.66,0.546
74.83,0.561
74.99,0.574
75.15,0.585
75.32,0.593
75.48,0.598
75.65,0.599
75.81,0.593
75.98,0.581
76.14,0.566
76.31,0.55
76.47,0.538
76.65,0.533
76.84,0.531
77.02,0.531
77.21,0.53
77.39,0.526
77.58,0.517
77.76,0.501
77.95,0.482
78.13,0.46
