,ybp,sealevel,interp.sealevels
1,0,-0.34,-0.34
2,1000,NA,-5.099
3,2000,NA,-9.858
4,3000,NA,-14.617
5,4000,NA,-19.376
6,5000,NA,-24.135
7,6000,NA,-28.894
8,7000,NA,-33.653
9,8000,NA,-38.412
10,9000,NA,-43.171
11,10000,-47.93,-47.93
12,11000,NA,-53.788
13,12000,NA,-59.646
14,13000,NA,-65.504
15,14000,NA,-71.362
16,15000,NA,-77.22
17,16000,NA,-83.078
18,17000,NA,-88.936
19,18000,NA,-94.794
20,19000,NA,-100.652
21,20000,-106.51,-106.51
22,21000,NA,-106.561
23,22000,NA,-106.612
24,23000,NA,-106.663
25,24000,NA,-106.714
26,25000,NA,-106.765
27,26000,NA,-106.816
28,27000,NA,-106.867
29,28000,NA,-106.918
30,29000,NA,-106.969
31,30000,-107.02,-107.02
32,31000,NA,-105.12
33,32000,NA,-103.22
34,33000,NA,-101.32
35,34000,NA,-99.42
36,35000,NA,-97.52
37,36000,NA,-95.62
38,37000,NA,-93.72
39,38000,NA,-91.82
40,39000,NA,-89.92
41,40000,-88.02,-88.02
42,41000,NA,-85.327
43,42000,NA,-82.634
44,43000,NA,-79.941
45,44000,NA,-77.248
46,45000,NA,-74.555
47,46000,NA,-71.862
48,47000,NA,-69.169
49,48000,NA,-66.476
50,49000,NA,-63.783
51,50000,-61.09,-61.09
52,51000,NA,-63.154
53,52000,NA,-65.218
54,53000,NA,-67.282
55,54000,NA,-69.346
56,55000,NA,-71.41
57,56000,NA,-73.474
58,57000,NA,-75.538
59,58000,NA,-77.602
60,59000,NA,-79.666
61,60000,-81.73,-81.73
62,61000,NA,-80.254
63,62000,NA,-78.778
64,63000,NA,-77.302
65,64000,NA,-75.826
66,65000,NA,-74.35
67,66000,NA,-72.874
68,67000,NA,-71.398
69,68000,NA,-69.922
70,69000,NA,-68.446
71,70000,-66.97,-66.97
72,71000,NA,-63.688
73,72000,NA,-60.406
74,73000,NA,-57.124
75,74000,NA,-53.842
76,75000,NA,-50.56
77,76000,NA,-47.278
78,77000,NA,-43.996
79,78000,NA,-40.714
80,79000,NA,-37.432
81,80000,-34.15,-34.15
82,81000,NA,-35.343
83,82000,NA,-36.536
84,83000,NA,-37.729
85,84000,NA,-38.922
86,85000,NA,-40.115
87,86000,NA,-41.308
88,87000,NA,-42.501
89,88000,NA,-43.694
90,89000,NA,-44.887
91,90000,-46.08,-46.08
92,91000,NA,-42.351
93,92000,NA,-38.622
94,93000,NA,-34.893
95,94000,NA,-31.164
96,95000,NA,-27.435
97,96000,NA,-23.706
98,97000,NA,-19.977
99,98000,NA,-16.248
100,99000,NA,-12.519
101,100000,-8.79,-8.79
102,101000,NA,-11.2
103,102000,NA,-13.61
104,103000,NA,-16.02
105,104000,NA,-18.43
106,105000,NA,-20.84
107,106000,NA,-23.25
108,107000,NA,-25.66
109,108000,NA,-28.07
110,109000,NA,-30.48
111,110000,-32.89,-32.89
112,111000,NA,-30.052
113,112000,NA,-27.214
114,113000,NA,-24.376
115,114000,NA,-21.538
116,115000,NA,-18.7
117,116000,NA,-15.862
118,117000,NA,-13.024
119,118000,NA,-10.186
120,119000,NA,-7.348
121,120000,-4.51,-4.51
122,121000,NA,-9.155
123,122000,NA,-13.8
124,123000,NA,-18.445
125,124000,NA,-23.09
126,125000,NA,-27.735
127,126000,NA,-32.38
128,127000,NA,-37.025
129,128000,NA,-41.67
130,129000,NA,-46.315
131,130000,-50.96,-50.96
132,131000,NA,-53.996
133,132000,NA,-57.032
134,133000,NA,-60.068
135,134000,NA,-63.104
136,135000,NA,-66.14
137,136000,NA,-69.176
138,137000,NA,-72.212
139,138000,NA,-75.248
140,139000,NA,-78.284
141,140000,-81.32,-81.32
142,141000,NA,-78.672
143,142000,NA,-76.024
144,143000,NA,-73.376
145,144000,NA,-70.728
146,145000,NA,-68.08
147,146000,NA,-65.432
148,147000,NA,-62.784
149,148000,NA,-60.136
150,149000,NA,-57.488
151,150000,-54.84,-54.84
152,151000,NA,-55.285
153,152000,NA,-55.73
154,153000,NA,-56.175
155,154000,NA,-56.62
156,155000,NA,-57.065
157,156000,NA,-57.51
158,157000,NA,-57.955
159,158000,NA,-58.4
160,159000,NA,-58.845
161,160000,-59.29,-59.29
162,161000,NA,-57.934
163,162000,NA,-56.578
164,163000,NA,-55.222
165,164000,NA,-53.866
166,165000,NA,-52.51
167,166000,NA,-51.154
168,167000,NA,-49.798
169,168000,NA,-48.442
170,169000,NA,-47.086
171,170000,-45.73,-45.73
172,171000,NA,-45.365
173,172000,NA,-45
174,173000,NA,-44.635
175,174000,NA,-44.27
176,175000,NA,-43.905
177,176000,NA,-43.54
178,177000,NA,-43.175
179,178000,NA,-42.81
180,179000,NA,-42.445
181,180000,-42.08,-42.08
182,181000,NA,-41.526
183,182000,NA,-40.972
184,183000,NA,-40.418
185,184000,NA,-39.864
186,185000,NA,-39.31
187,186000,NA,-38.756
188,187000,NA,-38.202
189,188000,NA,-37.648
190,189000,NA,-37.094
191,190000,-36.54,-36.54
192,191000,NA,-35.064
193,192000,NA,-33.588
194,193000,NA,-32.112
195,194000,NA,-30.636
196,195000,NA,-29.16
197,196000,NA,-27.684
198,197000,NA,-26.208
199,198000,NA,-24.732
200,199000,NA,-23.256
201,200000,-21.78,-21.78
202,201000,NA,-19.209
203,202000,NA,-16.638
204,203000,NA,-14.067
205,204000,NA,-11.496
206,205000,NA,-8.925
207,206000,NA,-6.354
208,207000,NA,-3.783
209,208000,NA,-1.212
210,209000,NA,1.359
211,210000,3.93,3.93
212,211000,NA,4.9
213,212000,NA,5.87
214,213000,NA,6.84
215,214000,NA,7.81
